var index, score
40,0.806206
110,0.808117
88,0.814151
14,0.814640
87,0.815288
105,0.815606
36,0.815915
59,0.815915
30,0.815914
31,0.815916
56,0.816089
65,0.816406
34,0.816263
3,0.820101
61,0.820913
3,0.820751
17,0.820587
82,0.820434
3,0.820577
11,0.820739
70,0.820424
8,0.820587
59,0.820576
41,0.820576
0,0.820585
68,0.820594
5,0.820593
54,0.821076
7,0.820922
23,0.820766
10,0.820754
56,0.821241
31,0.821219
15,0.821065
55,0.821843
13,0.822205
8,0.822524
14,0.822390
61,0.822234
56,0.822224
29,0.822368
71,0.822500
29,0.822027
57,0.822323
31,0.821863
61,0.822178
42,0.822112
42,0.822122
4,0.821640
26,0.820830
18,0.820522
17,0.820366
38,0.820007
24,0.819680
50,0.819479
10,0.818986
46,0.819154
18,0.819165
23,0.817898
15,0.817065
49,0.815731
40,0.814903
10,0.815067
35,0.814136
4,0.811328
3,0.807495
14,0.808009
0,0.809468
11,0.810442
19,0.811396
6,0.812381
12,0.818827
22,0.820614
4,0.821399
23,0.821241
37,0.820610
8,0.820138
21,0.820773
27,0.818188
2,0.817231
2,0.812310
24,0.812580
4,0.812199
22,0.831954
17,0.837908
10,0.838413
21,0.836920
20,0.832740
16,0.833218
14,0.832921
7,0.830501
18,0.830698
9,0.831064
19,0.830724
10,0.827854
8,0.822041
14,0.811844
15,0.812725
10,0.794895
3,0.788972
4,0.778794
7,0.757631
1,0.730678
9,0.705230
4,0.656935
0,0.631417
5,0.587570
5,0.556545
1,0.490883
3,0.395282
2,0.374588
0,0.278248
